id,QID,tagSlug
0,1,array
1,1,hash-table
2,2,linked-list
3,2,math
4,2,recursion
5,3,hash-table
6,3,string
7,3,sliding-window
8,4,array
9,4,binary-search
10,4,divide-and-conquer
11,5,string
12,5,dynamic-programming
13,6,string
14,7,math
15,8,string
16,9,math
17,10,string
18,10,dynamic-programming
19,10,recursion
20,11,array
21,11,two-pointers
22,11,greedy
23,12,hash-table
24,12,math
25,12,string
26,13,hash-table
27,13,math
28,13,string
29,14,string
30,14,trie
31,15,array
32,15,two-pointers
33,15,sorting
34,16,array
35,16,two-pointers
36,16,sorting
37,17,hash-table
38,17,string
39,17,backtracking
40,18,array
41,18,two-pointers
42,18,sorting
43,19,linked-list
44,19,two-pointers
45,20,string
46,20,stack
47,21,linked-list
48,21,recursion
49,22,string
50,22,dynamic-programming
51,22,backtracking
52,23,linked-list
53,23,divide-and-conquer
54,23,heap-priority-queue
55,23,merge-sort
56,24,linked-list
57,24,recursion
58,25,linked-list
59,25,recursion
60,26,array
61,26,two-pointers
62,27,array
63,27,two-pointers
64,28,two-pointers
65,28,string
66,28,string-matching
67,29,math
68,29,bit-manipulation
69,30,hash-table
70,30,string
71,30,sliding-window
72,31,array
73,31,two-pointers
74,32,string
75,32,dynamic-programming
76,32,stack
77,33,array
78,33,binary-search
79,34,array
80,34,binary-search
81,35,array
82,35,binary-search
83,36,array
84,36,hash-table
85,36,matrix
86,37,array
87,37,backtracking
88,37,matrix
89,38,string
90,39,array
91,39,backtracking
92,40,array
93,40,backtracking
94,41,array
95,41,hash-table
96,42,array
97,42,two-pointers
98,42,dynamic-programming
99,42,stack
100,42,monotonic-stack
101,43,math
102,43,string
103,43,simulation
104,44,string
105,44,dynamic-programming
106,44,greedy
107,44,recursion
108,45,array
109,45,dynamic-programming
110,45,greedy
111,46,array
112,46,backtracking
113,47,array
114,47,backtracking
115,48,array
116,48,math
117,48,matrix
118,49,array
119,49,hash-table
120,49,string
121,49,sorting
122,50,math
123,50,recursion
124,51,array
125,51,backtracking
126,52,backtracking
127,53,array
128,53,divide-and-conquer
129,53,dynamic-programming
130,54,array
131,54,matrix
132,54,simulation
133,55,array
134,55,dynamic-programming
135,55,greedy
136,56,array
137,56,sorting
138,57,array
139,58,string
140,59,array
141,59,matrix
142,59,simulation
143,60,math
144,60,recursion
145,61,linked-list
146,61,two-pointers
147,62,math
148,62,dynamic-programming
149,62,combinatorics
150,63,array
151,63,dynamic-programming
152,63,matrix
153,64,array
154,64,dynamic-programming
155,64,matrix
156,65,string
157,66,array
158,66,math
159,67,math
160,67,string
161,67,bit-manipulation
162,67,simulation
163,68,array
164,68,string
165,68,simulation
166,69,math
167,69,binary-search
168,70,math
169,70,dynamic-programming
170,70,memoization
171,71,string
172,71,stack
173,72,string
174,72,dynamic-programming
175,73,array
176,73,hash-table
177,73,matrix
178,74,array
179,74,binary-search
180,74,matrix
181,75,array
182,75,two-pointers
183,75,sorting
184,76,hash-table
185,76,string
186,76,sliding-window
187,77,backtracking
188,78,array
189,78,backtracking
190,78,bit-manipulation
191,79,array
192,79,backtracking
193,79,matrix
194,80,array
195,80,two-pointers
196,81,array
197,81,binary-search
198,82,linked-list
199,82,two-pointers
200,83,linked-list
201,84,array
202,84,stack
203,84,monotonic-stack
204,85,array
205,85,dynamic-programming
206,85,stack
207,85,matrix
208,85,monotonic-stack
209,86,linked-list
210,86,two-pointers
211,87,string
212,87,dynamic-programming
213,88,array
214,88,two-pointers
215,88,sorting
216,89,math
217,89,backtracking
218,89,bit-manipulation
219,90,array
220,90,backtracking
221,90,bit-manipulation
222,91,string
