QID,title,titleSlug,difficulty,acceptanceRate,paidOnly,topicTags,categorySlug
1,Two Sum,two-sum,Easy,49.26995435590818,False,"array,hash-table",algorithms
2,Add Two Numbers,add-two-numbers,Medium,40.02690709361894,False,"linked-list,math,recursion",algorithms
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,Medium,33.80511683109201,False,"hash-table,string,sliding-window",algorithms
4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,Hard,35.637028387797976,False,"array,binary-search,divide-and-conquer",algorithms
5,Longest Palindromic Substring,longest-palindromic-substring,Medium,32.4066121286044,False,"string,dynamic-programming",algorithms
6,Zigzag Conversion,zigzag-conversion,Medium,43.43300260127413,False,string,algorithms
7,Reverse Integer,reverse-integer,Medium,27.32061507766549,False,math,algorithms
8,String to Integer (atoi),string-to-integer-atoi,Medium,16.609057016330233,False,string,algorithms
9,Palindrome Number,palindrome-number,Easy,53.16327305355504,False,math,algorithms
10,Regular Expression Matching,regular-expression-matching,Hard,28.200230755952866,False,"string,dynamic-programming,recursion",algorithms
11,Container With Most Water,container-with-most-water,Medium,54.2089929206899,False,"array,two-pointers,greedy",algorithms
12,Integer to Roman,integer-to-roman,Medium,61.70380821455274,False,"hash-table,math,string",algorithms
13,Roman to Integer,roman-to-integer,Easy,58.2119063065845,False,"hash-table,math,string",algorithms
14,Longest Common Prefix,longest-common-prefix,Easy,40.80077584353848,False,"string,trie",algorithms
15,3Sum,3sum,Medium,32.3891672819157,False,"array,two-pointers,sorting",algorithms
16,3Sum Closest,3sum-closest,Medium,45.99501139317935,False,"array,two-pointers,sorting",algorithms
17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,Medium,56.00711039121009,False,"hash-table,string,backtracking",algorithms
18,4Sum,4sum,Medium,36.21315652506537,False,"array,two-pointers,sorting",algorithms
19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,Medium,40.397890699904124,False,"linked-list,two-pointers",algorithms
20,Valid Parentheses,valid-parentheses,Easy,40.46281355706133,False,"string,stack",algorithms
21,Merge Two Sorted Lists,merge-two-sorted-lists,Easy,62.140520289729565,False,"linked-list,recursion",algorithms
22,Generate Parentheses,generate-parentheses,Medium,72.16876211311528,False,"string,dynamic-programming,backtracking",algorithms
23,Merge k Sorted Lists,merge-k-sorted-lists,Hard,48.69559803048193,False,"linked-list,divide-and-conquer,heap-priority-queue,merge-sort",algorithms
24,Swap Nodes in Pairs,swap-nodes-in-pairs,Medium,60.82876914887325,False,"linked-list,recursion",algorithms
25,Reverse Nodes in k-Group,reverse-nodes-in-k-group,Hard,54.066892850036396,False,"linked-list,recursion",algorithms
