QID,title,titleSlug,difficulty,acceptanceRate,paidOnly,topicTags,categorySlug
1,Two Sum,two-sum,Easy,50.15289620538579,False,"array,hash-table",algorithms
2,Add Two Numbers,add-two-numbers,Medium,40.74259101991617,False,"linked-list,math,recursion",algorithms
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,Medium,33.845869517208435,False,"hash-table,string,sliding-window",algorithms
4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,Hard,36.77777217676063,False,"array,binary-search,divide-and-conquer",algorithms
5,Longest Palindromic Substring,longest-palindromic-substring,Medium,32.48934571057801,False,"string,dynamic-programming",algorithms
6,Zigzag Conversion,zigzag-conversion,Medium,45.31116301260191,False,string,algorithms
7,Reverse Integer,reverse-integer,Medium,27.622369005422097,False,math,algorithms
8,String to Integer (atoi),string-to-integer-atoi,Medium,16.661452187833305,False,string,algorithms
9,Palindrome Number,palindrome-number,Easy,53.94947690193015,False,math,algorithms
10,Regular Expression Matching,regular-expression-matching,Hard,27.953505023807285,False,"string,dynamic-programming,recursion",algorithms
11,Container With Most Water,container-with-most-water,Medium,53.9867877754317,False,"array,two-pointers,greedy",algorithms
12,Integer to Roman,integer-to-roman,Medium,62.46340535698949,False,"hash-table,math,string",algorithms
13,Roman to Integer,roman-to-integer,Easy,58.74647636369138,False,"hash-table,math,string",algorithms
14,Longest Common Prefix,longest-common-prefix,Easy,41.080873460619415,False,"string,trie",algorithms
15,3Sum,3sum,Medium,32.83746881985522,False,"array,two-pointers,sorting",algorithms
16,3Sum Closest,3sum-closest,Medium,45.57956411161612,False,"array,two-pointers,sorting",algorithms
17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,Medium,57.14837130348812,False,"hash-table,string,backtracking",algorithms
18,4Sum,4sum,Medium,35.78843586531672,False,"array,two-pointers,sorting",algorithms
19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,Medium,41.75621563830171,False,"linked-list,two-pointers",algorithms
20,Valid Parentheses,valid-parentheses,Easy,40.25914039992732,False,"string,stack",algorithms
21,Merge Two Sorted Lists,merge-two-sorted-lists,Easy,62.83716325211307,False,"linked-list,recursion",algorithms
22,Generate Parentheses,generate-parentheses,Medium,72.93057907144828,False,"string,dynamic-programming,backtracking",algorithms
23,Merge k Sorted Lists,merge-k-sorted-lists,Hard,50.29866144098306,False,"linked-list,divide-and-conquer,heap-priority-queue,merge-sort",algorithms
24,Swap Nodes in Pairs,swap-nodes-in-pairs,Medium,62.66419025108952,False,"linked-list,recursion",algorithms
25,Reverse Nodes in k-Group,reverse-nodes-in-k-group,Hard,55.538532050022916,False,"linked-list,recursion",algorithms
26,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,Easy,52.25258514992706,False,"array,two-pointers",algorithms
27,Remove Element,remove-element,Easy,53.717514067131575,False,"array,two-pointers",algorithms
28,Find the Index of the First Occurrence in a String,find-the-index-of-the-first-occurrence-in-a-string,Easy,39.7519827717207,False,"two-pointers,string,string-matching",algorithms
29,Divide Two Integers,divide-two-integers,Medium,17.103192028001384,False,"math,bit-manipulation",algorithms
30,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,Hard,31.52327252704185,False,"hash-table,string,sliding-window",algorithms
31,Next Permutation,next-permutation,Medium,38.01235076337822,False,"array,two-pointers",algorithms
32,Longest Valid Parentheses,longest-valid-parentheses,Hard,32.976390785058896,False,"string,dynamic-programming,stack",algorithms
33,Search in Rotated Sorted Array,search-in-rotated-sorted-array,Medium,39.192099039370596,False,"array,binary-search",algorithms
34,Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array,Medium,42.1718992626169,False,"array,binary-search",algorithms
35,Search Insert Position,search-insert-position,Easy,43.85769244767689,False,"array,binary-search",algorithms
36,Valid Sudoku,valid-sudoku,Medium,58.372388003751695,False,"array,hash-table,matrix",algorithms
37,Sudoku Solver,sudoku-solver,Hard,58.437774426916654,False,"array,hash-table,backtracking,matrix",algorithms
38,Count and Say,count-and-say,Medium,52.63574830191359,False,string,algorithms
39,Combination Sum,combination-sum,Medium,69.19722064693536,False,"array,backtracking",algorithms
40,Combination Sum II,combination-sum-ii,Medium,53.547726057086486,False,"array,backtracking",algorithms
41,First Missing Positive,first-missing-positive,Hard,36.91460348356503,False,"array,hash-table",algorithms
42,Trapping Rain Water,trapping-rain-water,Hard,59.50045118345988,False,"array,two-pointers,dynamic-programming,stack,monotonic-stack",algorithms
43,Multiply Strings,multiply-strings,Medium,39.32003618561709,False,"math,string,simulation",algorithms
44,Wildcard Matching,wildcard-matching,Hard,27.067148264350234,False,"string,dynamic-programming,greedy,recursion",algorithms
45,Jump Game II,jump-game-ii,Medium,39.974081724970496,False,"array,dynamic-programming,greedy",algorithms
46,Permutations,permutations,Medium,76.16326442739931,False,"array,backtracking",algorithms
47,Permutations II,permutations-ii,Medium,57.65429137230409,False,"array,backtracking",algorithms
48,Rotate Image,rotate-image,Medium,71.71465314881152,False,"array,math,matrix",algorithms
49,Group Anagrams,group-anagrams,Medium,66.75709033314524,False,"array,hash-table,string,sorting",algorithms
50,"Pow(x, n)",powx-n,Medium,33.2386988610985,False,"math,recursion",algorithms
51,N-Queens,n-queens,Hard,65.10338366467718,False,"array,backtracking",algorithms
52,N-Queens II,n-queens-ii,Hard,72.04766572279097,False,backtracking,algorithms
53,Maximum Subarray,maximum-subarray,Medium,50.23558293138384,False,"array,divide-and-conquer,dynamic-programming",algorithms
54,Spiral Matrix,spiral-matrix,Medium,46.68411558141115,False,"array,matrix,simulation",algorithms
55,Jump Game,jump-game,Medium,38.81315623283761,False,"array,dynamic-programming,greedy",algorithms
